label,x,y,plot_type,plot_num
WES,0.0,66209.50320741991,path,0
WES,5000.0,66209.50320741991,path,0
WES,5274.881790208876,66209.50320741991,path,0
WES,5564.875580135439,66209.50320741991,path,0
WES,5870.812172486897,66209.50320741991,path,0
WES,6193.56804447755,66209.50320741991,path,0
WES,6534.067858846844,66209.50320741991,path,0
WES,6893.287112924062,66209.50320741991,path,0
WES,7272.254933328931,72419.96576932797,path,0
WES,7672.0570243146885,72419.96576932797,path,0
WES,8093.838778200332,72419.96576932797,path,0
WES,8538.808556803076,72419.96576932797,path,0
WES,9008.241153272056,45249.195139285715,path,0
WES,9503.481444240993,45249.195139285715,path,0
WES,10025.948242762954,45249.195139285715,path,0
WES,10577.138363065396,45249.195139285715,path,0
WES,11158.630908770678,45249.195139285715,path,0
WES,11772.091796867273,37897.40928437729,path,0
WES,12419.278530392494,37897.40928437729,path,0
WES,13102.045233499883,37897.40928437729,path,0
WES,13822.347963336306,37897.40928437729,path,0
WES,14582.250313946684,37897.40928437729,path,0
WES,15383.929328261007,37897.40928437729,path,0
WES,16229.68173510085,37897.40928437729,path,0
WES,17121.930529073816,37897.40928437729,path,0
WES,18063.23191220658,37897.40928437729,path,0
WES,19056.282617203666,42975.53748530347,path,0
WES,20103.927633312313,42975.53748530347,path,0
WES,21209.168356927228,42975.53748530347,path,0
WES,22375.171190285946,42975.53748530347,path,0
WES,23605.27661288912,42975.53748530347,path,0
WES,24903.00875163446,42975.53748530347,path,0
WES,26272.08547708178,42975.53748530347,path,0
WES,27716.429054773947,42975.53748530347,path,0
WES,29240.177382128655,42975.53748530347,path,0
WES,30847.695843093585,42975.53748530347,path,0
WES,32543.589814527277,42975.53748530347,path,0
WES,34332.7178601354,42975.53748530347,path,0
WES,36220.205649761454,42975.53748530347,path,0
WES,38211.460643909464,42975.53748530347,path,0
WES,40312.18758556824,42975.53748530347,path,0
WES,42528.40484371964,42459.34662307861,path,0
WES,44866.46165535354,42459.34662307861,path,0
WES,47333.05631538584,42459.34662307861,path,0
WES,49935.25536659199,42459.34662307861,path,0
WES,52680.51384453323,42459.34662307861,path,0
WES,55576.696635474975,42459.34662307861,path,0
WES,58632.101008485995,48155.08113040966,path,0
WES,61855.480386270036,48155.08113040966,path,0
WES,65256.06942283163,48155.08113040966,path,0
WES,68843.61045982013,48155.08113040966,path,0
WES,72628.3814373477,48155.08113040966,path,0
WES,76621.225339242,48155.08113040966,path,0
WES,80833.58125709169,48155.08113040966,path,0
WES,85277.51716208049,42377.716705975,path,0
WES,89965.76447849664,42377.716705975,path,0
WES,94911.75455796848,42377.716705975,path,0
WES,100129.65715892045,42377.716705975,path,0
WES,105634.42104148949,45431.61723750376,path,0
WES,111441.81679420204,45431.61723750376,path,0
WES,117568.482015106,45431.61723750376,path,0
WES,124031.96897679646,45431.61723750376,path,0
WES,130850.79491189118,46821.42233037117,path,0
WES,138044.49506301826,46821.42233037117,path,0
WES,145633.67864929882,46821.42233037117,path,0
WES,153640.08790966347,46821.42233037117,path,0
WES,162086.66039215494,48105.89188345726,path,0
WES,170997.59466766968,48105.89188345726,path,0
WES,180398.41965640188,48105.89188345726,path,0
WES,190316.06776560264,48105.89188345726,path,0
WES,200778.95204818717,47593.62628019946,path,0
WES,211817.04760324064,47593.62628019946,path,0
WES,223461.97745162813,47593.62628019946,path,0
WES,235747.10313273207,47593.62628019946,path,0
WES,248707.6202818684,67361.80303208268,path,0
WES,262380.6594622023,67361.80303208268,path,0
WES,276805.3925400334,67361.80303208268,path,0
WES,292023.14490820834,67361.80303208268,path,0
WES,308077.5138791672,67361.80303208268,path,0
WES,325014.4935868084,67361.80303208268,path,0
WES,342882.60675500304,67361.80303208268,path,0
WES,361733.0437102632,51680.237220281364,path,0
WES,381619.80903681973,51680.237220281364,path,0
WES,402599.87629426183,51680.237220281364,path,0
WES,424733.3512409897,51680.237220281364,path,0
WES,448083.64403109736,51680.237220281364,path,0
WES,472717.65087801433,51680.237220281364,path,0
WES,498705.9457053508,51680.237220281364,path,0
WES,526122.9823340105,51680.237220281364,path,0
WES,555047.3077848112,51680.237220281364,path,0
WES,585561.7873077127,51680.237220281364,path,0
WES,617753.841782323,51680.237220281364,path,0
WES,651715.6981698305,51680.237220281364,path,0
WES,687544.6537338608,51680.237220281364,path,0
WES,725343.3547872416,51680.237220281364,path,0
WES,765220.0907632475,51680.237220281364,path,0
WES,807289.1044538071,51680.237220281364,path,0
WES,851670.919303484,51680.237220281364,path,0
WES,898492.6846968806,51680.237220281364,path,0
WES,947888.5402286915,51680.237220281364,path,0
WES,1000000.0,334080.2452391802,path,0
