label,x,y,plot_type,plot_num
EAS,0.0,72497.12314160693,path,0
EAS,4899.177119908644,72497.12314160693,path,0
EAS,5169.579640369551,72497.12314160693,path,0
EAS,5454.906610647651,72497.12314160693,path,0
EAS,5755.981762718391,72497.12314160693,path,0
EAS,6073.67429317238,72497.12314160693,path,0
EAS,6408.9013725646555,72497.12314160693,path,0
EAS,6762.630793263608,38904.61379888467,path,0
EAS,7135.883763443857,38904.61379888467,path,0
EAS,7529.737855289238,38904.61379888467,path,0
EAS,7945.330115917301,38904.61379888467,path,0
EAS,8383.860350006498,38904.61379888467,path,0
EAS,8846.594583602915,38904.61379888467,path,0
EAS,9334.868719106438,38904.61379888467,path,0
EAS,9850.092391988288,27013.77409946846,path,0
EAS,10393.753040374095,27013.77409946846,path,0
EAS,10967.420199241333,27013.77409946846,path,0
EAS,11572.750031628371,27013.77409946846,path,0
EAS,12211.490109936607,27013.77409946846,path,0
EAS,12885.484461129172,27013.77409946846,path,0
EAS,13596.678890391642,27013.77409946846,path,0
EAS,14347.126598623934,27013.77409946846,path,0
EAS,15138.994109981018,27013.77409946846,path,0
EAS,15974.56752657512,27013.77409946846,path,0
EAS,16856.25912839649,27013.77409946846,path,0
EAS,17786.6143375067,27013.77409946846,path,0
EAS,18768.31906660978,25673.449365063567,path,0
EAS,19804.207473216404,25673.449365063567,path,0
EAS,20897.27014178722,25673.449365063567,path,0
EAS,22050.662717476975,25673.449365063567,path,0
EAS,23267.715016404734,25673.449365063567,path,0
EAS,24551.940638751545,25673.449365063567,path,0
EAS,25907.04711243805,25673.449365063567,path,0
EAS,27336.946596666807,25673.449365063567,path,0
EAS,28845.76717623013,25673.449365063567,path,0
EAS,30437.864779189742,25673.449365063567,path,0
EAS,32117.835752334442,25673.449365063567,path,0
EAS,33890.530130720705,25894.284154423138,path,0
EAS,35761.06563960512,25894.284154423138,path,0
EAS,37734.842469191855,25894.284154423138,path,0
EAS,39817.55886484954,25894.284154423138,path,0
EAS,42015.22757780611,25894.284154423138,path,0
EAS,44334.19322381427,25894.284154423138,path,0
EAS,46781.1505999019,25894.284154423138,path,0
EAS,49363.164012087065,24351.746930290257,path,0
EAS,52087.68766985644,24351.746930290257,path,0
EAS,54962.58720628557,24351.746930290257,path,0
EAS,57996.16238592905,24351.746930290257,path,0
EAS,61197.17106603729,24351.746930290257,path,0
EAS,64574.85448027612,24351.746930290257,path,0
EAS,68138.96391794196,27953.375332675576,path,0
EAS,71899.78887569526,27953.375332675576,path,0
EAS,75868.18676308526,27953.375332675576,path,0
EAS,80055.61424762572,27953.375332675576,path,0
EAS,84474.16032991307,27953.375332675576,path,0
EAS,89136.58124427532,31587.42187876507,path,0
EAS,94056.33728570824,31587.42187876507,path,0
EAS,99247.63166941713,31587.42187876507,path,0
EAS,104725.4515351513,31587.42187876507,path,0
EAS,110505.61121470983,33101.45112069675,path,0
EAS,116604.79788752967,33101.45112069675,path,0
EAS,123040.61975616429,33101.45112069675,path,0
EAS,129831.6568807334,33101.45112069675,path,0
EAS,136997.51481910094,33101.45112069675,path,0
EAS,144558.88122764096,45513.81960524336,path,0
EAS,152537.58558599494,45513.81960524336,path,0
EAS,160956.66221824446,45513.81960524336,path,0
EAS,169840.4167924411,45513.81960524336,path,0
EAS,179214.49649047488,45513.81960524336,path,0
EAS,189105.96405085985,46557.02189440098,path,0
EAS,199543.37589819796,46557.02189440098,path,0
EAS,210556.86458487704,46557.02189440098,path,0
EAS,222178.225783012,46557.02189440098,path,0
EAS,234441.01007777103,46557.02189440098,path,0
EAS,247380.6198270941,46557.02189440098,path,0
EAS,261034.41136743248,46557.02189440098,path,0
EAS,275441.8028605775,69100.97980735752,path,0
EAS,290644.3880929288,69100.97980735752,path,0
EAS,306686.0565557362,69100.97980735752,path,0
EAS,323613.12015298643,69100.97980735752,path,0
EAS,341474.4469027362,69100.97980735752,path,0
EAS,360321.6020178826,69100.97980735752,path,0
EAS,380208.9967736703,69100.97980735752,path,0
EAS,401194.0455917116,69100.97980735752,path,0
EAS,423337.33179401373,69100.97980735752,path,0
EAS,446702.7825055466,69100.97980735752,path,0
EAS,471357.85321028833,69100.97980735752,path,0
EAS,497373.722493553,69100.97980735752,path,0
EAS,524825.4975328251,69100.97980735752,path,0
EAS,553792.4309303408,69100.97980735752,path,0
EAS,584358.149513409,69100.97980735752,path,0
EAS,616610.8957630168,69100.97980735752,path,0
EAS,650643.7825677067,69100.97980735752,path,0
EAS,686555.0620382085,69100.97980735752,path,0
EAS,724448.4091588751,69100.97980735752,path,0
EAS,764433.2210948247,69100.97980735752,path,0
EAS,806624.9330188758,69100.97980735752,path,0
EAS,851145.3513700666,69100.97980735752,path,0
EAS,898123.005505858,69100.97980735752,path,0
EAS,947693.5187632432,69100.97980735752,path,0
EAS,1000000.0,222046.76925740906,path,0
