pop	genome	time_index	left_time_boundary	right_time_boundary	lambda
west	grayfox	1	3.75485e-6	8.39924e-6	1.06245
west	grayfox	2	8.39924e-6	1.41439e-5	1.05154
west	grayfox	3	1.41439e-5	2.12494e-5	2.23214
west	grayfox	4	2.12494e-5	3.00383e-5	319.647
west	grayfox	5	3.00383e-5	4.09093e-5	1239.07
west	grayfox	6	4.09093e-5	5.43556e-5	1269.39
west	grayfox	7	5.43556e-5	7.09874e-5	1176.18
west	grayfox	8	7.09874e-5	9.15593e-5	1116.38
west	grayfox	9	9.15593e-5	1.17005e-4	1092.84
west	grayfox	10	1.17005e-4	1.48478e-4	1102.09
west	grayfox	11	1.48478e-4	1.87408e-4	1114.98
west	grayfox	12	1.87408e-4	2.3556e-4	1094.42
west	grayfox	13	2.3556e-4	2.95119e-4	1050.35
west	grayfox	14	2.95119e-4	3.68788e-4	1013.8
west	grayfox	15	3.68788e-4	4.59909e-4	1000.67
west	grayfox	16	4.59909e-4	5.72618e-4	1010.45
west	grayfox	17	5.72618e-4	7.12027e-4	1034.96
west	grayfox	18	7.12027e-4	8.84462e-4	1060.94
west	grayfox	19	8.84462e-4	0.00109775	1072.48
west	grayfox	20	0.00109775	0.00136156	1055.2
west	grayfox	21	0.00136156	0.00168787	1003.68
west	grayfox	22	0.00168787	0.00209148	925.257
west	grayfox	23	0.00209148	0.00259071	832.984
west	grayfox	24	0.00259071	0.00320821	737.542
west	grayfox	25	0.00320821	0.003972	645.995
west	grayfox	26	0.003972	0.00491673	562.073
west	grayfox	27	0.00491673	0.00608526	447.985
west	grayfox	28	0.00608526	0.00753063	447.985
west	grayfox	29	0.00753063	0.0093184	146.531
west	grayfox	30	0.0093184	0.0115297	146.531
west	grayfox	31	0.0115297	Inf	146.531
west	arcticfox	0	0	4.31496e-6	0.915082
west	arcticfox	1	4.31496e-6	9.65214e-6	0.915082
west	arcticfox	2	9.65214e-6	1.62537e-5	0.915041
west	arcticfox	3	1.62537e-5	2.44192e-5	0.91504
west	arcticfox	4	2.44192e-5	3.45191e-5	52.8248
west	arcticfox	5	3.45191e-5	4.70117e-5	595.774
west	arcticfox	6	4.70117e-5	6.24638e-5	1202.87
west	arcticfox	7	6.24638e-5	8.15766e-5	1150.9
west	arcticfox	8	8.15766e-5	1.05217e-4	1056.72
west	arcticfox	9	1.05217e-4	1.34458e-4	1010.69
west	arcticfox	10	1.34458e-4	1.70627e-4	979.736
west	arcticfox	11	1.70627e-4	2.15363e-4	956.683
west	arcticfox	12	2.15363e-4	2.70698e-4	940.974
west	arcticfox	13	2.70698e-4	3.39142e-4	934.751
west	arcticfox	14	3.39142e-4	4.238e-4	939.46
west	arcticfox	15	4.238e-4	5.28514e-4	953.559
