sample.id	EV1	EV2	EV3	EV4	EV5
SRR24465268	-0.17192865496791657	-0.02023381956059215	-5.545073926991939e-4	0.0017943400386585151	-0.0012462485193788753
SRR24465269	-0.16835751875263671	-0.019820502242535572	0.0016358463108175783	0.0028988866535678117	-0.0024998399078647073
SRR24465270	-0.1705412221095201	-0.020796066047245022	0.001936724773308224	0.002697658690777898	-0.0010677377794958984
SRR24465271	-0.16471977764011525	-0.023178892153837102	0.00710975826515687	0.011068147117542998	-0.008489744397136819
SRR24465272	-0.1660329755177474	-0.023479648630101525	0.0057596283246353856	0.011201976685018024	-0.007342059561937549
SRR24465273	0.09741632096844689	0.12390850497931703	-0.06881908031641996	-0.0991998900691714	0.002829860506173838
SRR24465274	0.13430629577897582	0.17419485959235062	-0.10143698346011357	-0.19309225632532095	0.026479462933812998
SRR24465275	-0.16566266037761768	-0.02369128430141702	0.007536451930053109	0.010881014785367836	-0.007623645006113152
SRR24465276	0.12019642921843834	0.15924926383483778	-0.05916031775245316	-0.04265773586143063	0.10720351745959739
SRR24465277	0.08409470262497779	0.12119683569562896	-0.059043039410325314	-0.052748688741904554	0.04893632672498695
SRR24465278	0.1346990349132053	0.16647825899629465	-0.09874265848430834	-0.4472870012533556	0.08993384162356108
SRR24465279	0.10124059154186953	0.143600399438513	-0.1332352351416746	-0.22304499739151537	0.03662286693134501
SRR24465280	0.13390090679813588	0.1509173093337849	-0.09939811555155281	-0.13101415103217656	0.029982532383326512
SRR24465281	0.11371917712576125	0.14663951475136894	-0.11172773122467419	-0.08301061577162465	0.052057630475522455
SRR24465282	0.14394670278762248	0.16904995191896136	-0.26064921083366976	0.7295661909502301	0.4896498182098318
SRR24465283	0.15736032744632267	0.017796420369990112	0.43916981404849126	0.04687341811895471	0.05605531196396755
SRR24465284	0.1735120429043532	-0.21258530527890063	0.08616331768337775	0.14489584621653254	-0.17250373198608765
SRR24465285	0.15518972319789348	0.047857450301673814	0.7817335353219584	-0.023186434591899084	0.2947651404346343
SRR24465286	-0.16233453246045695	-0.021872206164803717	0.005461168561452212	0.01111237452944197	-0.0077042578722477184
SRR24465287	0.19266996885744642	-0.4244828753522906	-0.09420443373197279	-0.06360456518962726	0.08467096440370446
SRR24465288	0.18651228503243175	-0.41988364070636375	-0.08109914882327351	-0.04185277671955151	0.0728712028787507
SRR24465289	0.14994860793693604	0.1471561800987199	-0.05670013428444847	-0.028944751922571874	0.023948676162705032
SRR24465290	0.18150154529729695	0.051310399570053324	-0.01490057796880759	0.02620020506924703	-0.0733554063348843
SRR24465291	0.1580684203529025	0.14654253327064642	-0.06682945339162938	0.0034920993258033893	-0.07364802026971015
SRR24465292	0.16940291515282252	0.03452572840891063	0.01256422282890315	0.14859483808260707	-0.49201560234983793
SRR24465293	0.16936990998444076	0.03575099168308086	0.08263145621009714	0.2813010272960853	-0.5676520098372295
SRR24465294	0.16268141388512913	0.13812186222240844	-0.022831732712128638	0.030134176554630677	-0.08554039735804188
SRR24465296	0.22519969458632533	-0.5592751943165508	-0.1313268483861381	-0.08430460940357452	0.1268818695898575
SRR24465297	-0.17047875120811243	-0.0340161215028844	0.013921178046008965	0.02188399887508619	-0.017303273366097528
SRR24465298	-0.15850071257754067	-0.01471193891457588	-0.0011585344884578123	0.002301073038546051	-0.0035003161012608875
SRR24465299	-0.1612195062489414	-0.016257367584778352	-4.5429023822189023e-4	2.4225586275786872e-5	-0.0022545877294738058
SRR24465300	-0.10285823288093063	0.005305776251723646	-0.003976299353850897	-0.004698964459045656	0.002234152943044181
SRR24465301	-0.08060007589342232	0.012384810765936836	-0.005623732868793087	-0.011040540709552675	0.015713579152676474
SRR24465302	-0.14519066757765295	-0.009943618116573136	4.435836762851818e-4	-0.005361549415794302	8.135228289317416e-4
SRR24465303	-0.15180431498433675	-0.011503768686318472	1.3720684124666465e-5	-9.601072024344666e-4	8.59285259627575e-4
SRR24465304	-0.16486557631161747	-0.021814629264128572	0.00601339024860254	0.009114916979914327	-0.007528361883373767
SRR24465305	-0.16620007440889925	-0.022831361706606004	0.005377560340762656	0.009657289751922172	-0.006451538035102239
SRR24465306	-0.1642689548637365	-0.017648551797274734	-5.934124351239337e-4	0.002251226120762569	-0.0025459232184126507
SRR24465307	-0.17043857502974186	-0.020245704263147833	5.394113954096626e-4	0.00323258430303125	-0.0016907829504720295
SRR24465308	-0.17045464494255805	-0.03391022673123851	0.013758379861196938	0.02189303409392178	-0.017293455253021506
SRR24465309	-0.1684795876382294	-0.019804328161831745	6.963297400553768e-4	0.0029390871965495357	-0.0032526231487849983
