label,x,y,plot_type,plot_num
EAS,0.0,16042.720175448389,path,0
EAS,278.75191732568635,16042.720175448389,path,0
EAS,307.7407845232539,16042.720175448389,path,0
EAS,339.74435536648775,16042.720175448389,path,0
EAS,375.07614462673945,16042.720175448389,path,0
EAS,414.08227111323976,16042.720175448389,path,0
EAS,457.1448483372163,13799.432860537494,path,0
EAS,504.68572778887665,13799.432860537494,path,0
EAS,557.1706314973088,13799.432860537494,path,0
EAS,615.1137143568576,13799.432860537494,path,0
EAS,679.0826009136438,7705.179940894876,path,0
EAS,749.7039459538071,7705.179940894876,path,0
EAS,827.6695733663527,7705.179940894876,path,0
EAS,913.7432534183956,7705.179940894876,path,0
EAS,1008.7681848346372,7705.179940894876,path,0
EAS,1113.6752549773535,7705.179940894876,path,0
EAS,1229.492159045625,3153.0041742091903,path,0
EAS,1357.3534676276984,3153.0041742091903,path,0
EAS,1498.5117412306881,3153.0041742091903,path,0
EAS,1654.3498006682412,3153.0041742091903,path,0
EAS,1826.39427350988,2084.8237569239304,path,0
EAS,2016.330549296339,2084.8237569239304,path,0
EAS,2226.019290025815,2084.8237569239304,path,0
EAS,2457.5146576518855,2084.8237569239304,path,0
EAS,2713.084437154103,2153.38932821021,path,0
EAS,2995.2322523117505,2153.38932821021,path,0
EAS,3306.7220918118983,2153.38932821021,path,0
EAS,3650.6053859554863,2153.38932821021,path,0
EAS,4030.250899211427,782.8875819337652,path,0
EAS,4449.377731453494,782.8875819337652,path,0
EAS,4912.091751168093,782.8875819337652,path,0
EAS,5422.925817541551,782.8875819337652,path,0
EAS,5986.884185452251,782.8875819337652,path,0
EAS,6609.491528369709,782.8875819337652,path,0
EAS,7296.847059400892,12329.290458050342,path,0
EAS,8055.684280666678,12329.290458050342,path,0
EAS,8893.436946327927,12329.290458050342,path,0
EAS,9818.311885451025,12329.290458050342,path,0
EAS,10839.369398103376,12329.290458050342,path,0
EAS,11966.612012258627,12329.290458050342,path,0
EAS,13211.082470995867,12329.290458050342,path,0
EAS,14584.971909899188,12329.290458050342,path,0
EAS,16101.739284389854,12329.290458050342,path,0
EAS,17776.24321693024,12329.290458050342,path,0
EAS,19624.887555706828,12329.290458050342,path,0
EAS,21665.78207072066,12329.290458050342,path,0
EAS,23918.919861503084,12329.290458050342,path,0
EAS,26406.373214386178,12329.290458050342,path,0
EAS,29152.50982799328,12329.290458050342,path,0
EAS,32184.231525146984,12329.290458050342,path,0
EAS,35531.23778967495,12329.290458050342,path,0
EAS,39226.31670978385,12329.290458050342,path,0
EAS,43305.66617815383,12329.290458050342,path,0
EAS,47809.24849530768,12329.290458050342,path,0
EAS,52781.1818500357,12329.290458050342,path,0
EAS,58270.17251191394,12329.290458050342,path,0
EAS,64329.99196977843,12329.290458050342,path,0
EAS,71020.00369032078,12329.290458050342,path,0
EAS,78405.74465706016,12329.290458050342,path,0
EAS,86559.56738658894,12329.290458050342,path,0
EAS,95561.34871143977,12329.290458050342,path,0
EAS,105499.27227298319,12329.290458050342,path,0
EAS,116470.6923898475,12329.290458050342,path,0
EAS,128583.08776452467,12329.290458050342,path,0
EAS,141955.11437090632,12329.290458050342,path,0
EAS,156717.7678370912,12329.290458050342,path,0
EAS,173015.66671044912,12329.290458050342,path,0
EAS,191008.46917611902,12329.290458050342,path,0
EAS,210872.43710745982,12329.290458050342,path,0
EAS,232802.16277027334,12329.290458050342,path,0
EAS,257012.4750960139,12329.290458050342,path,0
EAS,283740.5441983029,12329.290458050342,path,0
EAS,313248.2047490998,12329.290458050342,path,0
EAS,345824.5209748944,12329.290458050342,path,0
EAS,381788.61840024276,12329.290458050342,path,0
EAS,421492.8100790979,12329.290458050342,path,0
EAS,465326.04793925816,12329.290458050342,path,0
EAS,513717.7330501429,12329.290458050342,path,0
EAS,567141.9221402094,12329.290458050342,path,0
EAS,626121.9715720731,12329.290458050342,path,0
EAS,691235.6642688495,12329.290458050342,path,0
EAS,763120.869816333,12329.290458050342,path,0
EAS,842481.7931887493,12329.290458050342,path,0
EAS,930095.873312125,12329.290458050342,path,0
EAS,1026821.3990452759,12329.290458050342,path,0
EAS,1133605.917186422,12329.290458050342,path,0
EAS,1251495.5148723049,12329.290458050342,path,0
EAS,1381645.0673024564,12329.290458050342,path,0
EAS,1525329.5511778055,12329.290458050342,path,0
EAS,1683956.534682841,12329.290458050342,path,0
EAS,1859079.966366225,12329.290458050342,path,0
EAS,2052415.3979990846,12329.290458050342,path,0
EAS,2265856.790537825,12329.290458050342,path,0
EAS,2501495.0678267404,12329.290458050342,path,0
EAS,2761638.5997970495,12329.290458050342,path,0
EAS,3048835.815820704,12329.290458050342,path,0
EAS,3365900.169744952,12329.290458050342,path,0
EAS,3715937.7011711635,12329.290458050342,path,0
EAS,4102377.462974944,12329.290458050342,path,0
EAS,4529005.113142917,12329.290458050342,path,0
EAS,4999999.999999998,12329.290458050342,path,0
