label,x,y,plot_type,plot_num
WES,0.0,27219.76611534006,path,0
WES,0.07163769867659298,27219.76611534006,path,0
WES,0.08597500615791251,27219.76611534006,path,0
WES,0.10318173001652071,27219.76611534006,path,0
WES,0.12383214477062729,27219.76611534006,path,0
WES,0.1486154581439789,41247.33425640494,path,0
WES,0.17835881337802417,41247.33425640494,path,0
WES,0.21405489514285522,41247.33425640494,path,0
WES,0.25689506039438764,62616.65427185235,path,0
WES,0.3083090999203376,62616.65427185235,path,0
WES,0.3700129576168587,62616.65427185235,path,0
WES,0.4440660001269841,62616.65427185235,path,0
WES,0.5329397482154403,83582.88883159653,path,0
WES,0.6396003637898808,83582.88883159653,path,0
WES,0.7676076455734263,83582.88883159653,path,0
WES,0.9212338374096775,83582.88883159653,path,0
WES,1.105606214428177,83582.88883159653,path,0
WES,1.3268782058844524,83582.88883159653,path,0
WES,1.592434765900567,83582.88883159653,path,0
WES,1.9111388463558927,83582.88883159653,path,0
WES,2.2936271979624703,83582.88883159653,path,0
WES,2.752665371887641,83582.88883159653,path,0
WES,3.303573770105479,83582.88883159653,path,0
WES,3.964738963910059,83582.88883159653,path,0
WES,4.758227345849385,83582.88883159653,path,0
WES,5.710521595716957,83582.88883159653,path,0
WES,6.853404540158338,83582.88883159653,path,0
WES,8.225019904712564,83582.88883159653,path,0
WES,9.871145360894586,83582.88883159653,path,0
WES,11.846720356273215,83582.88883159653,path,0
WES,14.217679718883122,83582.88883159653,path,0
WES,17.06315423252982,83582.88883159653,path,0
WES,20.478111627202402,83582.88883159653,path,0
WES,24.576526127665904,83582.88883159653,path,0
WES,29.495182343937667,83582.88883159653,path,0
WES,35.39824045851655,83582.88883159653,path,0
WES,42.48271507351784,83582.88883159653,path,0
WES,50.98505057427178,83582.88883159653,path,0
WES,61.18901246218768,83582.88883159653,path,0
WES,73.43515803016805,83582.88883159653,path,0
WES,88.1322024644251,83582.88883159653,path,0
WES,105.77065971641981,83582.88883159653,path,0
WES,126.93921340911142,83582.88883159653,path,0
WES,152.34436415661747,83582.88883159653,path,0
WES,182.83400902670314,83582.88883159653,path,0
WES,219.4257401108102,83582.88883159653,path,0
WES,263.3408066665802,83582.88883159653,path,0
WES,316.04487431959524,83582.88883159653,path,0
WES,379.2969416629526,83582.88883159653,path,0
WES,455.2080468464964,83582.88883159653,path,0
WES,546.3117234884927,83582.88883159653,path,0
WES,655.6485573762533,83582.88883159653,path,0
WES,786.8676660361223,83582.88883159653,path,0
WES,944.3484880541291,83582.88883159653,path,0
WES,1133.3469468666397,83582.88883159653,path,0
WES,1360.1708672384843,83582.88883159653,path,0
WES,1632.3904989545829,83582.88883159653,path,0
WES,1959.0911739546798,83582.88883159653,path,0
WES,2351.176529344589,83582.88883159653,path,0
WES,2821.732416353972,83582.88883159653,path,0
WES,3386.463640704313,83582.88883159653,path,0
WES,4064.218110599795,83582.88883159653,path,0
WES,4877.615885783427,83582.88883159653,path,0
WES,5853.804122174882,83582.88883159653,path,0
WES,7025.363108371891,83582.88883159653,path,0
WES,8431.393632989479,83582.88883159653,path,0
WES,10118.821973728567,83582.88883159653,path,0
WES,12143.966062192703,83582.88883159653,path,0
WES,14574.415095213575,83582.88883159653,path,0
WES,17491.285324724937,83582.88883159653,path,0
WES,20991.927313186985,83582.88883159653,path,0
WES,25193.17500922732,79518.75992612774,path,0
WES,30235.24508141974,79518.75992612774,path,0
WES,36286.41665048919,79518.75992612774,path,0
WES,43548.64760603668,79518.75992612774,path,0
WES,52264.314952388464,79518.75992612774,path,0
WES,62724.30414265761,79518.75992612774,path,0
WES,75277.71738259065,79518.75992612774,path,0
WES,90343.5249189056,72414.75332602636,path,0
WES,108424.5481739395,72414.75332602636,path,0
WES,130124.24141381796,72414.75332602636,path,0
WES,156166.83203842325,50221.600596476725,path,0
WES,187421.49167547323,50221.600596476725,path,0
WES,224931.3447891215,69659.05907393311,path,0
WES,269948.2829655854,69659.05907393311,path,0
WES,323974.74680279416,69659.05907393311,path,0
WES,388813.86987490364,69659.05907393311,path,0
WES,466629.6583267963,69659.05907393311,path,0
WES,560019.2145929348,69659.05907393311,path,0
WES,672099.4157076217,69659.05907393311,path,0
WES,806610.9390958499,69659.05907393311,path,0
WES,968043.1077061407,69659.05907393311,path,0
WES,1161783.721192514,69659.05907393311,path,0
WES,1394298.87376219,69659.05907393311,path,0
WES,1673348.7601108951,69659.05907393311,path,0
WES,2008246.671970163,69659.05907393311,path,0
WES,2410169.8292781287,69659.05907393311,path,0
WES,2892532.4199660206,69659.05907393311,path,0
WES,3471433.298565684,69659.05907393311,path,0
WES,4166193.285581987,69659.05907393311,path,0
WES,4999999.999999998,69659.05907393311,path,0
