label,x,y,plot_type,plot_num
WES,0.0,111750.41741851806,path,0
WES,927.437766416814,111750.41741851806,path,0
WES,1011.5295329710576,111750.41741851806,path,0
WES,1103.245989243873,111750.41741851806,path,0
WES,1203.27847394399,111750.41741851806,path,0
WES,1312.3810101945671,111750.41741851806,path,0
WES,1431.3759891955679,111750.41741851806,path,0
WES,1561.1603692298472,111750.41741851806,path,0
WES,1702.712436739692,77692.91428943301,path,0
WES,1857.0991804373507,77692.91428943301,path,0
WES,2025.484334033985,77692.91428943301,path,0
WES,2209.1371482113996,77692.91428943301,path,0
WES,2409.4419579577498,77692.91428943301,path,0
WES,2627.9086173837395,77692.91428943301,path,0
WES,2866.1838806746687,77692.91428943301,path,0
WES,3126.0638149654933,77692.91428943301,path,0
WES,3409.5073387044245,103868.17624106324,path,0
WES,3718.650987554344,103868.17624106324,path,0
WES,4055.82501913415,103868.17624106324,path,0
WES,4423.570977994107,103868.17624106324,path,0
WES,4824.660853226153,103868.17624106324,path,0
WES,5262.11797311505,103868.17624106324,path,0
WES,5739.239794329746,103868.17624106324,path,0
WES,6259.622757434893,103868.17624106324,path,0
WES,6827.189396077982,103868.17624106324,path,0
WES,7446.217904195234,103868.17624106324,path,0
WES,8121.374384107438,103868.17624106324,path,0
WES,8857.748018584865,103868.17624106324,path,0
WES,9660.88943200062,103868.17624106324,path,0
WES,10536.852529730504,103868.17624106324,path,0
WES,11492.240131175633,103868.17624106324,path,0
WES,12534.253740379683,103868.17624106324,path,0
WES,13670.747829400807,103868.17624106324,path,0
WES,14910.28904361447,103868.17624106324,path,0
WES,16262.220775223963,103868.17624106324,path,0
WES,17736.73359171963,103868.17624106324,path,0
WES,19344.94205016121,103868.17624106324,path,0
WES,21098.96847629278,103868.17624106324,path,0
WES,23012.03433999879,103868.17624106324,path,0
WES,25098.559915869857,103868.17624106324,path,0
WES,27374.27298009767,103868.17624106324,path,0
WES,29856.327363032906,103868.17624106324,path,0
WES,32563.432251029106,103868.17624106324,path,0
WES,35515.99321222227,103868.17624106324,path,0
WES,38736.26600926733,87743.47411007235,path,0
WES,42248.52435843877,87743.47411007235,path,0
WES,46079.242899627025,87743.47411007235,path,0
WES,50257.29675641837,87743.47411007235,path,0
WES,54814.17919049935,87743.47411007235,path,0
WES,59784.238991016864,87743.47411007235,path,0
WES,65204.939388283456,87743.47411007235,path,0
WES,71117.14044346332,87743.47411007235,path,0
WES,77565.40704283032,82883.70793759258,path,0
WES,84598.34481819275,82883.70793759258,path,0
WES,92268.9665255792,82883.70793759258,path,0
WES,100635.09164386905,82883.70793759258,path,0
WES,109759.78220545418,101342.3836730222,path,0
WES,119711.81814413039,101342.3836730222,path,0
WES,130566.21574328527,101342.3836730222,path,0
WES,142404.79309233505,57181.364792333305,path,0
WES,155316.78681369493,57181.364792333305,path,0
WES,169399.52470904012,57181.364792333305,path,0
WES,184759.15939511612,57181.364792333305,path,0
WES,201511.46845908588,57181.364792333305,path,0
WES,219782.72716481413,78946.34420733231,path,0
WES,239710.66028835293,78946.34420733231,path,0
WES,261445.4802573645,78946.34420733231,path,0
WES,285151.0194197451,78946.34420733231,path,0
WES,311005.9649762461,78946.34420733231,path,0
WES,339205.20588575,78946.34420733231,path,0
WES,369961.3018958718,78946.34420733231,path,0
WES,403506.0857721298,78946.34420733231,path,0
WES,440092.410802932,78946.34420733231,path,0
WES,479996.05675269355,78946.34420733231,path,0
WES,523517.8086297514,78946.34420733231,path,0
WES,570985.7239383637,78946.34420733231,path,0
WES,622757.6055048635,78946.34420733231,path,0
WES,679223.698517577,78946.34420733231,path,0
WES,740809.6321102143,78946.34420733231,path,0
WES,807979.6276617536,78946.34420733231,path,0
WES,881239.997996275,78946.34420733231,path,0
WES,961142.9638589567,78946.34420733231,path,0
WES,1048290.8164360074,78946.34420733231,path,0
WES,1143340.4572946865,78946.34420733231,path,0
WES,1247008.3499645176,78946.34420733231,path,0
WES,1360075.9204836176,78946.34420733231,path,0
WES,1483395.447618287,78946.34420733231,path,0
WES,1617896.487155083,78946.34420733231,path,0
WES,1764592.8786902428,78946.34420733231,path,0
WES,1924590.387732171,78946.34420733231,path,0
WES,2099095.0407214477,78946.34420733231,path,0
WES,2289422.2157959477,78946.34420733231,path,0
WES,2497006.5578253074,78946.34420733231,path,0
WES,2723412.792452045,78946.34420733231,path,0
WES,2970347.520653298,78946.34420733231,path,0
WES,3239672.082728008,78946.34420733231,path,0
WES,3533416.588675406,78946.34420733231,path,0
WES,3853795.220722883,78946.34420733231,path,0
WES,4203222.9233502485,78946.34420733231,path,0
WES,4584333.606616261,78946.34420733231,path,0
WES,4999999.999999998,78946.34420733231,path,0
WES,0.0,25477.208789872864,path,1
WES,927.437766416814,25477.208789872864,path,1
WES,1011.5295329710576,25477.208789872864,path,1
WES,1103.245989243873,25477.208789872864,path,1
WES,1203.27847394399,25477.208789872864,path,1
WES,1312.3810101945671,25477.208789872864,path,1
WES,1431.3759891955679,25477.208789872864,path,1
WES,1561.1603692298472,25477.208789872864,path,1
WES,1702.712436739692,25477.208789872864,path,1
WES,1857.0991804373507,25477.208789872864,path,1
WES,2025.484334033985,25477.208789872864,path,1
WES,2209.1371482113996,25477.208789872864,path,1
WES,2409.4419579577498,25477.208789872864,path,1
WES,2627.9086173837395,25477.208789872864,path,1
WES,2866.1838806746687,25477.208789872864,path,1
WES,3126.0638149654933,25477.208789872864,path,1
